# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
20            	1.175408e-02	5.932001e-03	5.822079e-03	-4.884319e-04	-2.380334e-04	-2.503985e-04	6.182547e-06	5.496091e-05	-5.853198e-06	3.058550e-06	-4.323922e-06	7.382473e-06
20.5          	1.282332e-02	6.469411e-03	6.353912e-03	-1.203948e-02	-6.012444e-03	-6.027032e-03	7.294035e-06	5.774984e-05	2.526187e-05	-1.032277e-05	2.010049e-05	-3.042326e-05
21            	8.692618e-03	4.370336e-03	4.322282e-03	-7.728647e-03	-3.860020e-03	-3.868627e-03	4.303483e-06	2.402680e-05	4.104823e-05	-1.432060e-05	3.388793e-05	-4.820853e-05
21.5          	1.349997e-02	6.738533e-03	6.761435e-03	-6.052858e-03	-3.027361e-03	-3.025497e-03	-9.319449e-07	-1.145128e-05	4.816245e-06	-1.278042e-05	-1.573965e-06	-1.120646e-05
22            	1.304622e-02	6.487411e-03	6.558812e-03	-7.588834e-03	-3.801382e-03	-3.787452e-03	-6.965072e-06	-3.570062e-05	2.430927e-05	-1.426915e-05	1.717469e-05	-3.144384e-05
22.5          	7.892869e-03	3.903670e-03	3.989199e-03	1.128278e-02	5.631172e-03	5.651606e-03	-1.021681e-05	-4.276461e-05	9.100784e-06	-1.364392e-05	2.278825e-06	-1.592274e-05
23            	1.542272e-02	7.676100e-03	7.746619e-03	1.076262e-02	5.373063e-03	5.389562e-03	-8.249612e-06	-3.525937e-05	-1.196856e-05	-6.935286e-06	-1.543620e-05	8.500918e-06
23.5          	8.634172e-03	4.312208e-03	4.321964e-03	-2.844166e-02	-1.422173e-02	-1.421993e-02	-9.002601e-07	-4.877559e-06	9.454321e-06	-4.819379e-06	7.044632e-06	-1.186401e-05
24            	1.262346e-02	6.299448e-03	6.324014e-03	-1.693888e-02	-8.463048e-03	-8.475835e-03	6.393567e-06	-1.228323e-05	3.833732e-05	-1.751579e-05	2.957942e-05	-4.709521e-05
24.5          	1.445726e-02	7.190099e-03	7.267162e-03	1.306589e-02	6.541749e-03	6.524139e-03	8.805390e-06	-3.853139e-05	6.446924e-05	-3.537981e-05	4.677934e-05	-8.215915e-05
25            	1.542882e-02	7.667630e-03	7.761191e-03	-3.575895e-03	-1.784117e-03	-1.791779e-03	3.830805e-06	-4.678070e-05	3.375974e-05	-3.024200e-05	1.863874e-05	-4.888074e-05
25.5          	1.240377e-02	6.144285e-03	6.259488e-03	-4.179994e-03	-2.094604e-03	-2.085391e-03	-4.606573e-06	-5.760152e-05	-1.484495e-05	-2.705429e-05	-2.837210e-05	1.317810e-06
26            	1.591021e-02	7.959053e-03	7.951154e-03	1.710891e-02	8.546039e-03	8.562867e-03	-8.414418e-06	3.949849e-06	1.055099e-06	-2.832603e-05	-1.310792e-05	-1.521811e-05
26.5          	7.557804e-03	3.776227e-03	3.781576e-03	-2.636939e-03	-1.323444e-03	-1.313495e-03	-4.974540e-06	-2.674494e-06	-5.053578e-05	-1.529480e-05	-5.818318e-05	4.288838e-05
27            	1.462966e-02	7.250188e-03	7.379468e-03	-9.757802e-03	-4.877966e-03	-4.879836e-03	9.351057e-07	-6.464006e-05	-6.213216e-05	-1.323318e-05	-6.874875e-05	5.551557e-05
27.5          	1.627052e-02	8.068582e-03	8.201943e-03	-7.855499e-03	-3.920309e-03	-3.935190e-03	7.440675e-06	-6.668096e-05	-3.979395e-05	-5.751870e-06	-4.266988e-05	3.691801e-05
28            	1.601584e-02	7.970454e-03	8.045390e-03	1.741804e-02	8.719724e-03	8.698319e-03	1.070296e-05	-3.746770e-05	-8.710427e-05	1.530833e-05	-7.945010e-05	9.475843e-05
28.5          	1.102587e-02	5.531871e-03	5.493996e-03	-5.196020e-03	-2.587022e-03	-2.608998e-03	1.098822e-05	1.893752e-05	-4.316290e-05	3.451796e-05	-2.590392e-05	6.042188e-05
29            	9.055464e-03	4.580763e-03	4.474701e-03	-1.176837e-03	-5.821456e-04	-5.946913e-04	6.272863e-06	5.303108e-05	3.643864e-05	3.363006e-05	5.325366e-05	-1.962361e-05
29.5          	2.103162e-02	1.056128e-02	1.047034e-02	-6.830321e-03	-3.414073e-03	-3.416248e-03	1.087764e-06	4.547313e-05	1.000910e-04	1.532700e-05	1.077545e-04	-9.242754e-05
30            	1.432859e-02	7.205255e-03	7.123333e-03	-1.018240e-02	-5.091150e-03	-5.091248e-03	4.915669e-08	4.096083e-05	7.722913e-05	-2.483672e-05	6.481077e-05	-8.964749e-05
30.5          	1.208605e-02	6.095764e-03	5.990290e-03	4.502445e-03	2.251821e-03	2.250624e-03	5.987030e-07	5.273684e-05	3.960307e-05	-4.450482e-05	1.735066e-05	-6.185547e-05
31            	1.365093e-02	6.835724e-03	6.815206e-03	-4.281925e-03	-2.139302e-03	-2.142623e-03	1.660783e-06	1.025876e-05	3.148341e-05	-4.089219e-05	1.103731e-05	-5.192950e-05
31.5          	1.525819e-02	7.554705e-03	7.703481e-03	5.379524e-03	2.694695e-03	2.684829e-03	4.933346e-06	-7.438796e-05	2.437368e-05	-4.596714e-05	1.390107e-06	-4.735725e-05
32            	1.634789e-02	7.995382e-03	8.352512e-03	1.689006e-02	8.452105e-03	8.437956e-03	7.074562e-06	-1.785649e-04	1.196833e-05	-4.747708e-05	-1.177021e-05	-3.570687e-05
32.5          	1.820234e-02	8.836383e-03	9.365958e-03	1.254935e-02	6.278669e-03	6.270680e-03	3.994308e-06	-2.647875e-04	-3.076080e-05	-4.612642e-05	-5.382400e-05	7.697587e-06
